Date,pasir_kemudi_t2m,pasir_kemudi_d2m,pasir_kemudi_sp,pasir_kemudi_u10,pasir_kemudi_v10,pasir_kemudi_tcwv,pasir_kemudi_rh,pasir_kemudi_ws,pasir_kemudi_tp,felda_panching_t2m,felda_panching_d2m,felda_panching_sp,felda_panching_u10,felda_panching_v10,felda_panching_tcwv,felda_panching_rh,felda_panching_ws,felda_panching_tp,komtur_t2m,komtur_d2m,komtur_sp,komtur_u10,komtur_v10,komtur_tcwv,komtur_rh,komtur_ws,komtur_tp,sg_belat_t2m,sg_belat_d2m,sg_belat_sp,sg_belat_u10,sg_belat_v10,sg_belat_tcwv,sg_belat_rh,sg_belat_ws,sg_belat_tp,sg_cherating_t2m,sg_cherating_d2m,sg_cherating_sp,sg_cherating_u10,sg_cherating_v10,sg_cherating_tcwv,sg_cherating_rh,sg_cherating_ws,sg_cherating_tp
2015-01-21,25.388794,22.115845,1011.7989,-1.2413445,-3.0475273,46.638653,82.36597,3.4351141,0.060081482,25.388794,22.115845,1011.7989,-1.2413445,-3.0475273,46.638653,82.36597,3.4351141,0.060081482,25.388794,22.115845,1011.7989,-1.2413445,-3.0475273,46.638653,82.36597,3.4351141,0.060081482,25.388794,22.115845,1011.7989,-1.2413445,-3.0475273,46.638653,82.36597,3.4351141,0.060081482,25.499634,21.530396,1014.47144,-2.6077995,-5.3312187,43.864727,78.75511,5.9761314,0.41484833
2015-01-22,25.125275,21.178589,1011.17566,-1.2363281,-3.8192978,46.106754,79.144005,4.1198683,0.042915344,25.125275,21.178589,1011.17566,-1.2363281,-3.8192978,46.106754,79.144005,4.1198683,0.042915344,25.125275,21.178589,1011.17566,-1.2363281,-3.8192978,46.106754,79.144005,4.1198683,0.042915344,25.125275,21.178589,1011.17566,-1.2363281,-3.8192978,46.106754,79.144005,4.1198683,0.042915344,25.58133,21.028687,1013.8806,-1.8151855,-6.0597763,45.023746,75.9787,6.3519807,0.15544891
2015-01-23,25.101868,21.755676,1009.21124,-1.6279106,-3.2200394,43.163616,81.99446,3.6953118,0.4696846,25.101868,21.755676,1009.21124,-1.6279106,-3.2200394,43.163616,81.99446,3.6953118,0.4696846,25.101868,21.755676,1009.21124,-1.6279106,-3.2200394,43.163616,81.99446,3.6953118,0.4696846,25.101868,21.755676,1009.21124,-1.6279106,-3.2200394,43.163616,81.99446,3.6953118,0.4696846,24.998352,21.424133,1011.91376,-3.0029106,-4.7500687,42.468304,80.65469,5.6796656,0.4348755
2015-01-24,25.00946,21.406921,1009.6095,-1.6687355,-3.116249,47.27485,80.77445,3.6271281,0.15306473,25.00946,21.406921,1009.6095,-1.6687355,-3.116249,47.27485,80.77445,3.6271281,0.15306473,25.00946,21.406921,1009.6095,-1.6687355,-3.116249,47.27485,80.77445,3.6271281,0.15306473,25.00946,21.406921,1009.6095,-1.6687355,-3.116249,47.27485,80.77445,3.6271281,0.15306473,25.330261,20.726746,1012.312,-3.0386086,-5.0037003,45.317818,75.694824,5.9178076,0.20980835
2015-01-25,25.516449,21.641388,1009.91846,-1.460907,-2.453991,47.84625,79.581276,2.9970143,0.038146973,25.516449,21.641388,1009.91846,-1.460907,-2.453991,47.84625,79.581276,2.9970143,0.038146973,25.516449,21.641388,1009.91846,-1.460907,-2.453991,47.84625,79.581276,2.9970143,0.038146973,25.516449,21.641388,1009.91846,-1.460907,-2.453991,47.84625,79.581276,2.9970143,0.038146973,25.738129,20.536407,1012.59094,-2.521698,-4.0452995,46.00738,73.01464,4.856158,0.025749207
2015-01-26,25.56488,21.573578,1008.678,-1.6277161,-3.5908813,46.55177,79.15461,4.0738134,0.008106232,25.56488,21.573578,1008.678,-1.6277161,-3.5908813,46.55177,79.15461,4.0738134,0.008106232,25.56488,21.573578,1008.678,-1.6277161,-3.5908813,46.55177,79.15461,4.0738134,0.008106232,25.56488,21.573578,1008.678,-1.6277161,-3.5908813,46.55177,79.15461,4.0738134,0.008106232,25.66986,20.926605,1011.438,-1.6926575,-6.5811157,44.229015,75.10319,6.87333,0.00667572
2015-01-27,25.255615,21.194183,1007.8589,-0.94073105,-2.9716148,39.706367,78.89401,3.1962848,0.00047683716,25.255615,21.194183,1007.8589,-0.94073105,-2.9716148,39.706367,78.89401,3.1962848,0.00047683716,25.255615,21.194183,1007.8589,-0.94073105,-2.9716148,39.706367,78.89401,3.1962848,0.00047683716,25.255615,21.194183,1007.8589,-0.94073105,-2.9716148,39.706367,78.89401,3.1962848,0.00047683716,25.764404,20.877289,1010.5739,-1.4983482,-5.244564,38.74006,74.450966,5.562908,0.034332275
2015-01-28,25.983032,21.516144,1006.95996,-1.0769119,-3.036953,44.53873,77.186745,3.3919213,0.0910759,25.983032,21.516144,1006.95996,-1.0769119,-3.036953,44.53873,77.186745,3.3919213,0.0910759,25.983032,21.516144,1006.95996,-1.0769119,-3.036953,44.53873,77.186745,3.3919213,0.0910759,25.983032,21.516144,1006.95996,-1.0769119,-3.036953,44.53873,77.186745,3.3919213,0.0910759,26.124146,21.451202,1009.6875,-1.55616,-5.234951,46.859043,75.63003,5.5232096,0.33426285
2015-01-29,24.758942,23.056396,1007.8782,-0.857811,-2.8715706,55.21073,90.3114,3.11973,7.4329376,24.758942,23.056396,1007.8782,-0.857811,-2.8715706,55.21073,90.3114,3.11973,7.4329376,24.758942,23.056396,1007.8782,-0.857811,-2.8715706,55.21073,90.3114,3.11973,7.4329376,24.758942,23.056396,1007.8782,-0.857811,-2.8715706,55.21073,90.3114,3.11973,7.4329376,25.416656,22.633545,1010.60315,-1.0450668,-5.170643,55.976845,84.61604,5.3236876,2.2120476
2015-01-30,25.161285,22.955048,1009.04376,-1.3206558,-3.3175964,50.519745,87.86871,3.6074338,0.16021729,25.161285,22.955048,1009.04376,-1.3206558,-3.3175964,50.519745,87.86871,3.6074338,0.16021729,25.161285,22.955048,1009.04376,-1.3206558,-3.3175964,50.519745,87.86871,3.6074338,0.16021729,25.161285,22.955048,1009.04376,-1.3206558,-3.3175964,50.519745,87.86871,3.6074338,0.16021729,25.61734,22.801239,1011.79376,-2.591896,-5.03244,48.217987,84.477234,5.7056484,0.58555603
