date,nada,lembing,reman,nada_imputed,lembing_imputed,reman_imputed
2009-12-02,21.8,20.6,14.6,0,0,0
2009-12-03,87.7,39.3,61.6,0,0,0
2009-12-04,96.5,60.8,87.3,0,0,0
2009-12-05,93.6,124.0,78.8,0,0,0
2009-12-06,0.0,4.5,0.0,0,0,0
2009-12-07,26.5,1.5,0.0,0,0,0
2009-12-08,16.0,15.0,0.0,0,0,0
2009-12-09,0.5,4.5,0.0,0,0,0
2009-12-10,0.0,0.0,0.0,0,0,0
2009-12-11,0.0,0.0,0.0,0,0,0
2009-12-12,0.0,0.0,0.0,0,0,0
2009-12-13,0.4,2.0,0.0,0,0,0
2009-12-14,8.1,4.0,0.0,0,0,0
2009-12-15,10.5,2.0,0.0,0,0,0
2009-12-16,4.8,0.0,0.0,0,0,0
2009-12-17,16.3,17.5,0.0,0,0,0
2009-12-18,137.8,89.5,0.0,0,0,0
2009-12-19,69.8,86.6,0.0,0,0,0
2009-12-20,37.2,24.7,0.0,0,0,0
2009-12-21,2.4,4.0,0.0,0,0,0
2009-12-22,5.0,9.9,0.0,0,0,0
2009-12-23,33.6,32.7,0.0,0,0,0
2009-12-24,13.4,0.5,0.0,0,0,0
2009-12-25,5.4,1.3,0.0,0,0,0
2009-12-26,40.4,41.7,0.0,0,0,0
2009-12-27,11.3,6.5,4.5,0,0,0
2009-12-28,0.0,0.0,0.1,0,0,1
2009-12-29,0.0,0.0,0.1,0,0,1
2009-12-30,1.5,0.0,0.5,0,0,1
2009-12-31,0.0,0.0,0.2,0,0,1
2010-01-01,11.9,8.5,6.5,0,0,1
2010-01-02,21.8,16.2,10.5,0,0,1
2010-01-03,61.8,79.6,40.6,0,0,1
2010-01-04,17.0,11.8,12.9,0,0,0
2010-01-05,0.4,0.3,0.4,0,0,0
2010-01-06,4.5,8.3,8.0,0,0,0
2010-01-07,5.1,0.8,0.2,0,0,0
2010-01-08,4.0,8.5,0.0,0,0,0
2010-01-09,0.0,0.0,0.5,0,0,0
2010-01-10,0.0,0.0,0.0,0,0,0
2010-01-11,0.0,0.0,0.0,0,0,0
2010-01-12,0.0,0.0,0.0,0,0,0
2010-01-13,0.0,0.4,0.0,0,0,0
2010-01-14,19.5,5.1,5.5,0,0,0
2010-01-15,0.5,5.5,0.0,0,0,0
2010-01-16,0.0,0.0,0.0,0,0,0
2010-01-17,0.0,0.0,0.0,0,0,0
2010-01-18,0.0,0.0,0.0,0,0,0
2010-01-19,0.0,0.0,0.0,0,0,0
2010-01-20,2.0,16.5,6.0,0,0,0
2010-01-21,9.0,4.0,6.5,0,0,0
2010-01-22,0.0,0.0,0.0,0,0,0
2010-01-23,0.9,2.4,6.4,0,0,0
2010-01-24,10.1,4.1,7.6,0,0,0
2010-01-25,0.3,0.0,1.8,0,0,0
2010-01-26,3.8,9.6,8.9,0,0,0
2010-01-27,14.4,42.9,19.3,0,0,0
2010-01-28,3.0,0.0,0.5,0,0,0
2010-01-29,0.0,0.0,0.0,0,0,0
2010-01-30,8.0,6.5,3.0,0,0,0
2010-01-31,0.0,0.0,0.0,0,0,0
2010-02-01,0.0,0.0,0.0,0,0,0
2010-02-02,0.0,0.0,0.0,0,0,0
2010-02-03,0.0,0.0,0.0,0,0,0
2010-02-04,0.0,0.0,0.0,0,0,0
2010-02-05,0.0,0.0,0.0,0,0,0
2010-02-06,0.0,18.5,0.0,0,0,0
2010-02-07,0.0,0.0,0.0,0,0,0
2010-02-08,0.0,0.0,0.0,0,0,0
2010-02-09,0.0,0.0,0.0,0,0,0
2010-02-10,0.0,0.5,0.0,0,0,0
2010-02-11,0.0,0.0,0.0,0,0,0
2010-02-12,0.0,0.0,0.0,0,0,0
2010-02-13,0.0,0.0,0.0,0,0,0
2010-02-14,0.0,0.0,0.0,0,0,0
2010-02-15,0.0,0.0,0.0,0,0,0
2010-02-16,0.4,0.4,0.8,0,0,0
2010-02-17,4.6,3.6,1.7,0,0,0
2010-02-18,1.5,5.0,8.0,0,0,0
2010-02-19,0.0,0.0,0.0,0,0,0
2010-02-20,1.0,0.0,0.0,0,0,0
2010-02-21,2.0,16.5,0.0,0,0,0
2010-02-22,0.0,0.0,0.0,0,0,0
2010-02-23,0.0,0.0,0.0,0,0,0
2010-02-24,0.0,0.0,0.0,0,0,0
2010-02-25,0.0,0.0,0.0,0,0,0
2010-02-26,0.0,0.0,0.0,0,0,0
2010-02-27,0.0,0.0,0.0,0,0,0
2010-02-28,0.0,0.0,0.0,0,0,0
2010-03-01,0.0,0.0,0.0,0,0,0
2010-03-02,0.0,0.0,0.0,0,0,0
2010-03-03,0.0,0.0,0.0,0,0,0
2010-03-04,0.0,0.0,0.0,0,0,0
2010-03-05,0.0,0.0,0.0,0,0,0
2010-03-06,0.0,0.0,0.0,0,0,0
2010-03-07,0.0,0.0,0.0,0,0,0
2010-03-08,0.0,0.0,0.0,0,0,0
2010-03-09,0.0,0.0,0.0,0,0,0
2010-03-10,0.0,0.0,0.0,0,0,0
2010-03-11,2.3,1.5,0.9,0,0,0
2010-03-12,30.7,23.5,10.6,0,0,0
2010-03-13,2.4,18.5,9.4,0,0,0
2010-03-14,13.1,9.5,5.1,0,0,0
2010-03-15,1.0,0.0,5.0,0,0,0
2010-03-16,0.0,0.0,0.0,0,0,0
2010-03-17,0.4,1.2,0.3,0,0,0
2010-03-18,22.1,18.1,15.9,0,0,0
2010-03-19,21.2,27.6,3.3,0,0,0
2010-03-20,9.9,6.6,15.4,0,0,0
2010-03-21,3.0,14.0,13.5,0,0,0
2010-03-22,0.0,0.0,0.0,0,0,0
2010-03-23,28.5,14.5,48.5,0,0,0
2010-03-24,0.0,0.0,0.0,0,0,0
2010-03-25,0.5,0.0,0.0,0,0,0
2010-03-26,9.0,0.0,0.5,0,0,0
2010-03-27,0.0,1.0,0.0,0,0,0
2010-03-28,3.0,0.5,0.0,0,0,0
2010-03-29,0.0,13.0,0.0,0,0,0
2010-03-30,0.0,0.0,2.0,0,0,0
2010-03-31,0.5,0.0,0.0,0,0,0
2010-04-01,1.0,0.0,2.0,0,0,0
2010-04-02,0.0,0.0,0.0,0,0,0
2010-04-03,1.6,4.3,2.1,0,0,0
2010-04-04,12.9,32.2,9.4,0,0,0
2010-04-05,0.0,6.0,0.0,0,0,0
2010-04-06,0.5,0.0,0.5,0,0,0
2010-04-07,0.0,0.0,0.0,0,0,0
2010-04-08,2.5,0.0,0.0,0,0,0
2010-04-09,0.0,0.0,4.5,0,0,0
