date_start,date_end,nada_3931013,lembing_3930012,reman_3931014,nada_3931013_missing,lembing_3930012_missing,reman_3931014_missing,nada_3931013_15m_total,nada_3931013_15m_peak,nada_3931013_15m_std,lembing_3930012_15m_total,lembing_3930012_15m_peak,lembing_3930012_15m_std,reman_3931014_15m_total,reman_3931014_15m_peak,reman_3931014_15m_std,doy_sin,doy_cos,month_sin,month_cos,nada_3931013_total_rm3,nada_3931013_peak_rm3,nada_3931013_total_rm7,nada_3931013_peak_rm7,nada_3931013_total_rm14,nada_3931013_peak_rm14,nada_3931013_total_lag3,nada_3931013_total_lag7,nada_3931013_total_lag14,lembing_3930012_total_rm3,lembing_3930012_peak_rm3,lembing_3930012_total_rm7,lembing_3930012_peak_rm7,lembing_3930012_total_rm14,lembing_3930012_peak_rm14,lembing_3930012_total_lag3,lembing_3930012_total_lag7,lembing_3930012_total_lag14,reman_3931014_total_rm3,reman_3931014_peak_rm3,reman_3931014_total_rm7,reman_3931014_peak_rm7,reman_3931014_total_rm14,reman_3931014_peak_rm14,reman_3931014_total_lag3,reman_3931014_total_lag7,reman_3931014_total_lag14,nada_3931013_consec_dry,lembing_3930012_consec_dry,reman_3931014_consec_dry
2009-01-21,2009-01-22,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,0.0,0.0,0.07142857142857142,0.0,0.8214285714285714,0.2285714285714286,0.0,3.6,0.0,0.0,0.0,0.04285714285714286,0.0,0.9642857142857143,0.3285714285714286,0.0,5.3,0.0,0.0,0.0,0.07142857142857142,0.0,0.8571428571428571,0.34285714285714286,0.0,5.2,0.0,5,6,6
2009-01-22,2009-01-23,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,0.0,0.0,0.07142857142857142,0.0,0.8214285714285714,0.2285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.3285714285714286,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.34285714285714286,0.0,0.5,0.0,6,7,7
2009-01-23,2009-01-24,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.8214285714285714,0.2285714285714286,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.3285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.34285714285714286,0.0,0.0,0.0,7,8,8
2009-01-24,2009-01-25,0.4,4.9,0.4,0,0,0,0.0,0.0,0.0,4.0,1.9,0.25982450217372605,0.0,0.0,0.0,0.4012289854475009,0.9159777842484877,0.49999999999999994,0.8660254037844387,0.13333333333333333,0.0,0.05714285714285715,0.0,0.85,0.2285714285714286,0.0,0.0,0.0,1.6333333333333335,0.6333333333333333,0.7000000000000001,0.2714285714285714,1.3142857142857143,0.4642857142857143,0.0,0.0,0.0,0.13333333333333333,0.0,0.05714285714285715,0.0,0.8857142857142858,0.34285714285714286,0.0,0.0,0.0,0,0,0
2009-01-25,2009-01-26,14.3,25.6,20.5,0,0,0,13.4,1.6,0.3110184176867198,25.6,3.3,0.628560036351537,20.5,5.3,0.7296170288390544,0.4169258813287287,0.908940487313808,0.49999999999999994,0.8660254037844387,4.9,0.5333333333333333,2.1,0.2285714285714286,1.8714285714285717,0.34285714285714286,0.0,0.0,0.0,10.166666666666666,1.7333333333333332,4.357142857142857,0.7428571428571428,3.142857142857143,0.7000000000000001,0.0,0.0,0.0,6.966666666666666,1.7666666666666666,2.9857142857142853,0.7571428571428571,2.35,0.7214285714285714,0.0,0.0,0.0,0,0,0
2009-01-26,2009-01-27,1.8,2.0,2.6,0,0,0,1.8,0.5,0.07855604770849249,2.1,0.8,0.10177697495788988,2.5,0.9,0.1347471641468348,0.4324994021339788,0.901634220265486,0.49999999999999994,0.8660254037844387,5.5,0.7000000000000001,2.357142857142857,0.3,1.7142857142857142,0.24285714285714288,0.0,0.0,4.0,10.833333333333334,2.0,4.642857142857143,0.8571428571428571,2.9642857142857144,0.5285714285714286,0.0,0.0,4.5,7.833333333333333,2.066666666666667,3.357142857142857,0.8857142857142858,2.357142857142857,0.6642857142857144,0.0,0.0,2.5,0,0,0
2009-01-27,2009-01-28,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44794493940789115,0.8940611451454876,0.49999999999999994,0.8660254037844387,5.366666666666667,0.7000000000000001,2.357142857142857,0.3,1.4714285714285715,0.21428571428571427,0.4,0.0,3.4,9.200000000000001,1.3666666666666665,4.642857142857143,0.8571428571428571,2.7214285714285715,0.4928571428571428,4.9,0.0,3.4,7.7,2.066666666666667,3.357142857142857,0.8857142857142858,2.085714285714286,0.6214285714285713,0.4,0.0,3.8,1,1,1
2009-01-28,2009-01-29,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4632579225674917,0.88622350294858,0.49999999999999994,0.8660254037844387,0.6,0.16666666666666666,2.357142857142857,0.3,1.2142857142857142,0.14999999999999997,14.3,0.0,3.6,0.6666666666666666,0.26666666666666666,4.642857142857143,0.8571428571428571,2.3428571428571425,0.4285714285714285,25.6,0.0,5.3,0.8666666666666667,0.3,3.357142857142857,0.8857142857142858,1.7142857142857142,0.4428571428571429,20.5,0.0,5.2,2,2,2
2009-01-29,2009-01-30,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784338202547012,0.8781236129591848,0.49999999999999994,0.8660254037844387,0.0,0.0,2.357142857142857,0.3,1.2142857142857142,0.14999999999999997,1.8,0.0,0.0,0.0,0.0,4.642857142857143,0.8571428571428571,2.3214285714285716,0.4285714285714285,2.0,0.0,0.3,0.0,0.0,3.357142857142857,0.8857142857142858,1.6785714285714286,0.4428571428571429,2.6,0.0,0.5,3,3,3
2009-01-30,2009-01-31,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49346814167723735,0.8697638720650646,0.49999999999999994,0.8660254037844387,0.0,0.0,2.357142857142857,0.3,1.1785714285714286,0.14999999999999997,0.0,0.0,0.5,0.0,0.0,4.642857142857143,0.8571428571428571,2.3214285714285716,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,3.357142857142857,0.8857142857142858,1.6785714285714286,0.4428571428571429,0.0,0.0,0.0,4,4,4
