#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-05-26 00:00:00,2009-05-27 00:00:00,16.4,20.5,13.0
2009-05-27 00:00:00,2009-05-28 00:00:00,12.3,6.7,11.7
2009-05-28 00:00:00,2009-05-29 00:00:00,34.2,17.3,33.1
2009-05-29 00:00:00,2009-05-30 00:00:00,9.6,0.5,5.7
2009-05-30 00:00:00,2009-05-31 00:00:00,0.0,0.0,0.0
2009-05-31 00:00:00,2009-06-01 00:00:00,0.0,0.0,0.0
2009-06-01 00:00:00,2009-06-02 00:00:00,0.0,9.0,0.0
2009-06-02 00:00:00,2009-06-03 00:00:00,0.0,0.0,0.0
2009-06-03 00:00:00,2009-06-04 00:00:00,0.0,0.0,0.0
2009-06-04 00:00:00,2009-06-05 00:00:00,0.0,0.0,0.0
2009-06-05 00:00:00,2009-06-06 00:00:00,0.0,4.0,3.5
2009-06-06 00:00:00,2009-06-07 00:00:00,0.0,0.0,0.5
2009-06-07 00:00:00,2009-06-08 00:00:00,9.5,2.5,14.0
2009-06-08 00:00:00,2009-06-09 00:00:00,0.5,0.0,0.0
2009-06-09 00:00:00,2009-06-10 00:00:00,0.0,0.0,0.0
2009-06-10 00:00:00,2009-06-11 00:00:00,0.0,0.0,0.0
2009-06-11 00:00:00,2009-06-12 00:00:00,0.0,5.5,8.0
2009-06-12 00:00:00,2009-06-13 00:00:00,0.5,0.0,0.0
2009-06-13 00:00:00,2009-06-14 00:00:00,0.5,2.0,0.0
2009-06-14 00:00:00,2009-06-15 00:00:00,2.5,0.5,1.2
2009-06-15 00:00:00,2009-06-16 00:00:00,23.0,10.5,15.8
2009-06-16 00:00:00,2009-06-17 00:00:00,0.0,0.0,0.0
2009-06-17 00:00:00,2009-06-18 00:00:00,0.0,0.0,0.0
